Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.4745931029319763, 0.9101560115814209, 5.448459887702484e-07]","[0.364298939704895, 0.8094224333763123, 0.0032031622249633074]","[0.312899649143219, 0.6998408436775208, -0.0020692232064902782]","[0.26491019129753113, 0.6035100221633911, -0.002849126933142543]","[0.20180833339691162, 0.5497848391532898, -0.0033756785560399294]","[0.4443731904029846, 0.5769988894462585, -0.03412891551852226]","[0.45701518654823303, 0.4110342264175415, -0.03350810706615448]","[0.46597594022750854, 0.32424196600914, -0.03347425535321236]","[0.47835028171539307, 0.25537344813346863, -0.030271580442786217]","[0.5324174165725708, 0.5909590125083923, -0.00741239357739687]","[0.5713121891021729, 0.4373285174369812, 0.012227392755448818]","[0.6008105278015137, 0.3559422791004181, 0.023842498660087585]","[0.6237531304359436, 0.302889883518219, 0.02910095453262329]","[0.5999454855918884, 0.635255753993988, 0.026515480130910873]","[0.5604873895645142, 0.581201434135437, 0.07429017126560211]","[0.5247322916984558, 0.6265245079994202, 0.08558548986911774]","[0.5043126940727234, 0.6788766384124756, 0.08951114863157272]","[0.6496931910514832, 0.6755563020706177, 0.06079253926873207]","[0.6047843098640442, 0.6433368921279907, 0.11187195777893066]","[0.5666679739952087, 0.6803746819496155, 0.12998977303504944]","[0.550349235534668, 0.7268849611282349, 0.14086340367794037]"
"[0.4722967743873596, 0.8306225538253784, 4.4493580730886606e-07]","[0.383000910282135, 0.7505078315734863, -0.017637187615036964]","[0.3414662182331085, 0.6571263670921326, -0.03487399220466614]","[0.2990870475769043, 0.5761793851852417, -0.05164909362792969]","[0.24906358122825623, 0.5299692153930664, -0.0697210356593132]","[0.4468041658401489, 0.5655118227005005, -0.042621366679668427]","[0.4628598093986511, 0.4407818615436554, -0.05802197754383087]","[0.4757404625415802, 0.37053948640823364, -0.061978623270988464]","[0.48743343353271484, 0.3192841708660126, -0.05952706187963486]","[0.5181070566177368, 0.5740044713020325, -0.03403914347290993]","[0.5693119764328003, 0.47215473651885986, -0.035695917904376984]","[0.602446436882019, 0.410434365272522, -0.03361711651086807]","[0.6270197629928589, 0.37252384424209595, -0.029813481494784355]","[0.5729157328605652, 0.605963945388794, -0.024489620700478554]","[0.5610329508781433, 0.5954141020774841, -0.022979775443673134]","[0.5391032695770264, 0.6316782236099243, -0.02922770008444786]","[0.5202538967132568, 0.6724188923835754, -0.028201309964060783]","[0.6141561269760132, 0.6433291435241699, -0.016262950375676155]","[0.5967395901679993, 0.6464083194732666, -0.008518376387655735]","[0.5731344223022461, 0.6795170307159424, -0.0041049811989068985]","[0.5533575415611267, 0.7147424221038818, 0.003735331818461418]"
"[0.5443366765975952, 0.8430609107017517, 7.218871473924082e-07]","[0.5888868570327759, 0.7613358497619629, -0.0014451459283009171]","[0.629078209400177, 0.6707392930984497, -0.016449538990855217]","[0.684737503528595, 0.6000567078590393, -0.03999873250722885]","[0.7530462741851807, 0.566436231136322, -0.06552345305681229]","[0.5330861806869507, 0.5636088252067566, -0.01505233719944954]","[0.5089893937110901, 0.43389177322387695, -0.03647921606898308]","[0.49555519223213196, 0.3581569790840149, -0.047912176698446274]","[0.48782801628112793, 0.29527467489242554, -0.055586837232112885]","[0.4849904179573059, 0.5721558332443237, -0.03025149367749691]","[0.3756009340286255, 0.46310487389564514, -0.05577349290251732]","[0.31967395544052124, 0.390344500541687, -0.07178522646427155]","[0.28081977367401123, 0.33340591192245483, -0.08111180365085602]","[0.43855464458465576, 0.6092717051506042, -0.04376143962144852]","[0.33465808629989624, 0.6046136021614075, -0.06342707574367523]","[0.35913896560668945, 0.6475782990455627, -0.0641520693898201]","[0.3984217941761017, 0.6738161444664001, -0.058970797806978226]","[0.39683037996292114, 0.6538199782371521, -0.058594729751348495]","[0.32643356919288635, 0.6728275418281555, -0.06819029152393341]","[0.3526027202606201, 0.7124567627906799, -0.06272079795598984]","[0.3930150270462036, 0.7302508354187012, -0.05353894829750061]"
"[0.4960808753967285, 0.8655528426170349, 4.765472851886443e-07]","[0.38479262590408325, 0.7869256138801575, -0.04454660415649414]","[0.35015416145324707, 0.6913853287696838, -0.05853673815727234]","[0.3421505093574524, 0.6038032174110413, -0.05045996978878975]","[0.32954591512680054, 0.5332871079444885, -0.0411921851336956]","[0.4364789128303528, 0.5798794627189636, -0.09038916975259781]","[0.4354693591594696, 0.439982533454895, -0.07570657134056091]","[0.4388386011123657, 0.35974884033203125, -0.06616730988025665]","[0.4476737678050995, 0.3010139465332031, -0.057887811213731766]","[0.49983859062194824, 0.5958841443061829, -0.027410199865698814]","[0.47960126399993896, 0.4552673101425171, 0.02901405841112137]","[0.4637911021709442, 0.38434064388275146, 0.06639306247234344]","[0.4573267996311188, 0.3225100040435791, 0.08073950558900833]","[0.5452263355255127, 0.6243408918380737, 0.03970220312476158]","[0.49463891983032227, 0.5600886344909668, 0.11617326736450195]","[0.4572938084602356, 0.6101315021514893, 0.12931646406650543]","[0.44304367899894714, 0.6594194173812866, 0.12095936387777328]","[0.5811616778373718, 0.6426661610603333, 0.10369732975959778]","[0.522872269153595, 0.6122524738311768, 0.15907365083694458]","[0.48978519439697266, 0.6431223154067993, 0.16069932281970978]","[0.4772525727748871, 0.6790252923965454, 0.15207639336585999]"
"[0.4638451337814331, 0.8556252121925354, 1.0050340506495559e-06]","[0.39471977949142456, 0.7612547278404236, 0.0018437705002725124]","[0.3572142720222473, 0.6653633117675781, -0.027956565842032433]","[0.2985328733921051, 0.5860499143600464, -0.06447044759988785]","[0.23036205768585205, 0.5465747117996216, -0.1017693430185318]","[0.45577648282051086, 0.572528600692749, -0.058368295431137085]","[0.486824631690979, 0.42831164598464966, -0.0994998887181282]","[0.5006269216537476, 0.3483251631259918, -0.11889291554689407]","[0.5051673650741577, 0.28110378980636597, -0.12724216282367706]","[0.5142601132392883, 0.5849694609642029, -0.08337120711803436]","[0.616287112236023, 0.45148634910583496, -0.11147049069404602]","[0.6730344891548157, 0.373590350151062, -0.122267946600914]","[0.7144804000854492, 0.31046560406684875, -0.12740598618984222]","[0.5644418001174927, 0.6226969361305237, -0.10502057522535324]","[0.6574257016181946, 0.599842369556427, -0.11917204409837723]","[0.6373820900917053, 0.6461426019668579, -0.10552221536636353]","[0.6083771586418152, 0.6744003295898438, -0.09147261083126068]","[0.6073207855224609, 0.673542320728302, -0.12810859084129333]","[0.6671106219291687, 0.6801443099975586, -0.12616553902626038]","[0.643449068069458, 0.7139585614204407, -0.10256900638341904]","[0.6152942180633545, 0.7296133041381836, -0.08182282745838165]"
"[0.46281856298446655, 0.7884960770606995, 4.056859665979573e-07]","[0.4301362633705139, 0.7019388675689697, 0.06321892142295837]","[0.4182734191417694, 0.6357508301734924, 0.06645146012306213]","[0.39152127504348755, 0.5727448463439941, 0.05493633449077606]","[0.35289931297302246, 0.5360754728317261, 0.04402802884578705]","[0.4796186089515686, 0.5560977458953857, 0.00625569885596633]","[0.5052723288536072, 0.45185768604278564, -0.013780804350972176]","[0.5159620642662048, 0.3879784643650055, -0.02813066355884075]","[0.5207715034484863, 0.3352554738521576, -0.03831407055258751]","[0.5145996809005737, 0.5635233521461487, -0.03210742399096489]","[0.5968138575553894, 0.46709567308425903, -0.054371386766433716]","[0.6439622044563293, 0.40614333748817444, -0.07019714266061783]","[0.675065815448761, 0.3575019836425781, -0.08324220776557922]","[0.5469314455986023, 0.5908241271972656, -0.06002906337380409]","[0.636264443397522, 0.5825196504592896, -0.04629494622349739]","[0.6236995458602905, 0.6184808015823364, -0.018854927271604538]","[0.6046676635742188, 0.6323879957199097, -0.003946569282561541]","[0.5777698755264282, 0.6303643584251404, -0.08527705073356628]","[0.6381478309631348, 0.6446869969367981, -0.055665258318185806]","[0.619090735912323, 0.6736688017845154, -0.022922897711396217]","[0.5984974503517151, 0.6839988231658936, -0.0015176237793639302]"
"[0.5277861952781677, 0.8266517519950867, 5.025088967158808e-07]","[0.5924064517021179, 0.7330334186553955, 0.025129850953817368]","[0.6324938535690308, 0.6534457206726074, 0.02535989321768284]","[0.6840716600418091, 0.586823582649231, 0.018869919702410698]","[0.7465274333953857, 0.5490627288818359, 0.01058430876582861]","[0.5425881743431091, 0.557284951210022, 0.01725996844470501]","[0.5231133699417114, 0.4268440008163452, 0.0347306951880455]","[0.50764000415802, 0.3621424436569214, 0.04558096081018448]","[0.5008141994476318, 0.3048766255378723, 0.051283903419971466]","[0.4804229140281677, 0.564862847328186, 0.010918655432760715]","[0.4009765386581421, 0.45463576912879944, 0.03089815005660057]","[0.361408531665802, 0.39135420322418213, 0.034851133823394775]","[0.33199745416641235, 0.3488194942474365, 0.03324924781918526]","[0.42568856477737427, 0.6027978658676147, 0.011178161948919296]","[0.37992191314697266, 0.5792379379272461, 0.0451214499771595]","[0.40835946798324585, 0.6119066476821899, 0.049573399126529694]","[0.4356922507286072, 0.6390917897224426, 0.04632153362035751]","[0.3788011074066162, 0.6417924761772156, 0.012861361727118492]","[0.3585270047187805, 0.6379070281982422, 0.05180630460381508]","[0.3817192614078522, 0.666823148727417, 0.06678242981433868]","[0.4088532030582428, 0.6883241534233093, 0.07373180240392685]"
"[0.5292912721633911, 0.8388387560844421, 5.21396884778369e-07]","[0.602423906326294, 0.7479108572006226, 0.01381494477391243]","[0.642075777053833, 0.6600713729858398, 0.015228183940052986]","[0.6901483535766602, 0.5878026485443115, 0.012389061041176319]","[0.7478711605072021, 0.5488245487213135, 0.011036277748644352]","[0.5525618195533752, 0.567754328250885, 0.007525299210101366]","[0.5287728905677795, 0.44127824902534485, 0.02027113549411297]","[0.5214715003967285, 0.38877177238464355, 0.03238091245293617]","[0.5222087502479553, 0.3479747772216797, 0.04142355918884277]","[0.4807529151439667, 0.5746704339981079, 0.0005357799236662686]","[0.42034947872161865, 0.4461028277873993, 0.011126000434160233]","[0.39106789231300354, 0.3779214024543762, 0.012380750849843025]","[0.3715725541114807, 0.3338452875614166, 0.01308597344905138]","[0.4211823344230652, 0.6093606352806091, -0.00200730562210083]","[0.40275639295578003, 0.5796404480934143, 0.009962568990886211]","[0.4287951588630676, 0.6146249175071716, 0.007058342453092337]","[0.4508121907711029, 0.647430956363678, 0.006260211579501629]","[0.3737495243549347, 0.6474370360374451, -0.002874776255339384]","[0.3791366219520569, 0.6408984661102295, 0.0181893277913332]","[0.4024079144001007, 0.6701820492744446, 0.028216304257512093]","[0.4224156141281128, 0.6940376162528992, 0.03587687015533447]"
"[0.514517605304718, 0.8149993419647217, 2.5555158345014206e-07]","[0.5953176021575928, 0.735741913318634, 0.002411110093817115]","[0.6376724243164062, 0.6465594172477722, 0.0006777136004529893]","[0.6838364601135254, 0.5774846076965332, -0.002341833198443055]","[0.7395420074462891, 0.5394517183303833, -0.006536856759339571]","[0.547823429107666, 0.5557688474655151, -0.013901127502322197]","[0.5288176536560059, 0.43659859895706177, -0.009699258953332901]","[0.5139000415802002, 0.37054601311683655, -0.006772149819880724]","[0.5045046806335449, 0.3151572346687317, -0.005915740504860878]","[0.4808102548122406, 0.5661368370056152, -0.012649188749492168]","[0.4132147431373596, 0.4632871150970459, -0.0004707690386567265]","[0.3787463307380676, 0.4013589024543762, 0.0029374652076512575]","[0.35342052578926086, 0.3558213710784912, 0.001849753432907164]","[0.42597198486328125, 0.604602575302124, -0.007399809546768665]","[0.39707693457603455, 0.5783225297927856, 0.009362487122416496]","[0.42560940980911255, 0.6125141382217407, 0.011217686347663403]","[0.44849422574043274, 0.6424056887626648, 0.009775354526937008]","[0.38143688440322876, 0.643682599067688, -0.001956780906766653]","[0.37440845370292664, 0.6393028497695923, 0.014664107002317905]","[0.3936281204223633, 0.664986252784729, 0.02292245626449585]","[0.41560378670692444, 0.6857960224151611, 0.029014067724347115]"
"[0.52552330493927, 0.8161016702651978, 3.318122310247418e-07]","[0.577241063117981, 0.7200169563293457, 0.023137617856264114]","[0.6146156787872314, 0.6391791105270386, 0.022099943831562996]","[0.6664814352989197, 0.57749342918396, 0.011374534107744694]","[0.7246852517127991, 0.5430400371551514, -0.002219545654952526]","[0.5231560468673706, 0.5497432947158813, 0.01133122481405735]","[0.5069035887718201, 0.43066564202308655, 0.012847814708948135]","[0.4971061944961548, 0.36864978075027466, 0.011554427444934845]","[0.48893415927886963, 0.3108656406402588, 0.007876981049776077]","[0.4732557237148285, 0.5609772801399231, -0.007206853944808245]","[0.3900070786476135, 0.4601703882217407, -0.010744496248662472]","[0.34432530403137207, 0.39351895451545715, -0.020732160657644272]","[0.3066670298576355, 0.34294766187667847, -0.03140413016080856]","[0.42953991889953613, 0.5994061827659607, -0.020892532542347908]","[0.3557432293891907, 0.5808448195457458, -0.014656518585979939]","[0.3830224275588989, 0.6158922910690308, -0.015826385468244553]","[0.41494470834732056, 0.6423524022102356, -0.019739607349038124]","[0.393973708152771, 0.6413983106613159, -0.033481232821941376]","[0.34568336606025696, 0.6422861814498901, -0.02262340486049652]","[0.36880195140838623, 0.6710225343704224, -0.014753740280866623]","[0.3996317386627197, 0.6902785301208496, -0.010208548046648502]"
